VR_naam,jaar,ambulances,standplaatsen,inzetten
Groningen,2019,39,13,56.675
Groningen,2018,42,13,56.911
Groningen,2017,43,13,54.062
Groningen,2016,37,13,53.623
Groningen,2015,38,13,50.41
Friesland,2019,39,24,52.923
Friesland,2018,39,23,50.748
Friesland,2017,39,23,50.023
Friesland,2016,38,23,49.411
Friesland,2015,38,22,46.704
Drenthe,2019,25,14,44.199
Drenthe,2018,23,14,43.604
Drenthe,2017,23,15,42.444
Drenthe,2016,23,16,42.132
Drenthe,2015,24,16,39.573
IJsselland,2019,29,12,38.64
IJsselland,2018,29,12,35.234
IJsselland,2017,30,12,34.719
IJsselland,2016,30,12,34.205
IJsselland,2015,30,11,33.227
Twente,2019,32,9,42.001
Twente,2018,30,9,40.778
Twente,2017,29,9,40.825
Twente,2016,26,9,40.348
Twente,2015,26,9,38.234
Noordoost Gelderland,2019,33,10,49.893
Noordoost Gelderland,2018,33,9,47.365
Noordoost Gelderland,2017,33,9,48.207
Noordoost Gelderland,2016,33,9,48.33
Noordoost Gelderland,2015,32,9,45.114
Midden Gelderland,2019,25,7,44.377
Midden Gelderland,2018,24,7,44.313
Midden Gelderland,2017,23,7,44.283
Midden Gelderland,2016,23,7,43.749
Midden Gelderland,2015,23,7,41.525
Gelderland Zuid,2019,27,7,41.63
Gelderland Zuid,2018,23,8,42.241
Gelderland Zuid,2017,25,8,40.284
Gelderland Zuid,2016,20,8,39.736
Gelderland Zuid,2015,27,8,38.249
Utrecht,2019,51,12,92.166
Utrecht,2018,51,11,92.218
Utrecht,2017,51,11,92.283
Utrecht,2016,48,11,93.385
Utrecht,2015,46,11,90.038
Noord-Holland Noord,2019,32,9,44.614
Noord-Holland Noord,2018,32,9,44.016
Noord-Holland Noord,2017,29,9,43.303
Noord-Holland Noord,2016,29,9,44.289
Noord-Holland Noord,2015,28,9,41.047
Zaanstreek-Waterland,2019,15,4,24.326
Zaanstreek-Waterland,2018,14,4,25.17
Zaanstreek-Waterland,2017,14,4,25.611
Zaanstreek-Waterland,2016,14,4,25.67
Zaanstreek-Waterland,2015,14,4,24.323
Kennemerland,2019,27,4,45.241
Kennemerland,2018,26,4,43.67
Kennemerland,2017,24,4,43.679
Kennemerland,2016,24,4,46.451
Kennemerland,2015,24,4,42.657
Amsterdam-Amstelland,2019,53,7,102.28
Amsterdam-Amstelland,2018,53,7,100.678
Amsterdam-Amstelland,2017,53,7,102.442
Amsterdam-Amstelland,2016,53,7,102.68
Amsterdam-Amstelland,2015,53,7,97.293
Gooi- en Vechtstreek,2019,11,3,18.137
Gooi- en Vechtstreek,2018,11,3,18.192
Gooi- en Vechtstreek,2017,11,3,18.012
Gooi- en Vechtstreek,2016,10,3,18.186
Gooi- en Vechtstreek,2015,10,3,17.741
Haaglanden,2019,57,8,98.791
Haaglanden,2018,59,8,98.155
Haaglanden,2017,52,8,100.332
Haaglanden,2016,52,8,100.753
Haaglanden,2015,46,8,96.8
Hollands Midden,2019,37,9,57.392
Hollands Midden,2018,34,9,57.745
Hollands Midden,2017,33,9,56.26
Hollands Midden,2016,31,9,57.037
Hollands Midden,2015,31,9,55.119
Rotterdam-Rijnmond,2019,72,15,114.987
Rotterdam-Rijnmond,2018,65,15,112.009
Rotterdam-Rijnmond,2017,77,14,114.812
Rotterdam-Rijnmond,2016,78,14,112.646
Rotterdam-Rijnmond,2015,60,12,107.989
Zuid-Holland Zuid,2019,18,6,35.769
Zuid-Holland Zuid,2018,18,7,36.035
Zuid-Holland Zuid,2017,18,6,35.649
Zuid-Holland Zuid,2016,18,6,35.755
Zuid-Holland Zuid,2015,18,6,35.062
Zeeland,2019,27,11,29.72
Zeeland,2018,25,11,29.144
Zeeland,2017,26,11,28.379
Zeeland,2016,26,11,28.86
Zeeland,2015,26,11,28.325
Midden West Brabant,2019,55,18,92.334
Midden West Brabant,2018,55,18,88.883
Midden West Brabant,2017,47,17,86.953
Midden West Brabant,2016,50,17,86.413
Midden West Brabant,2015,46,17,81.586
Brabant Noord,2019,31,7,46.937
Brabant Noord,2018,31,7,45.941
Brabant Noord,2017,29,7,44.664
Brabant Noord,2016,29,7,44.803
Brabant Noord,2015,27,7,41.8
Brabant Zuidoost,2019,34,9,53.4
Brabant Zuidoost,2018,33,9,54.558
Brabant Zuidoost,2017,30,7,52.874
Brabant Zuidoost,2016,28,7,52.601
Brabant Zuidoost,2015,28,4,50.252
Noord- en Midden Limburg,2019,24,12,38.619
Noord- en Midden Limburg,2018,24,10,37.056
Noord- en Midden Limburg,2017,24,11,37.449
Noord- en Midden Limburg,2016,22,11,37.262
Noord- en Midden Limburg,2015,19,11,37.564
Zuid Limburg,2019,25,5,52.36
Zuid Limburg,2018,25,5,50.958
Zuid Limburg,2017,25,4,48.993
Zuid Limburg,2016,24,4,49.204
Zuid Limburg,2015,24,4,48.526
Flevoland,2019,14,6,28.644
Flevoland,2018,14,6,27.222
Flevoland,2017,14,6,26.561
Flevoland,2016,14,6,25.722
Flevoland,2015,14,6,24.136
